0
ï»¿0
"Ã¯Â»Â¿Player,Conference,Receiving School,Transferring School,Position"
"Elijah Spencer,Big Ten,Minnesota,Charlotte,WR"
"Ryan Selig,Big Ten,Minnesota,Western Michigan,LB"
"Chris Collins,Big Ten,Minnesota,North Carolina,LB"
"Tre'von Jones,Big Ten,Minnesota,Elon,DB"
"Tyler Bride,Big Ten,Minnesota,Georgia Southern,DB"
"Rowan Zolman,Big Ten,Minnesota,""Miami, Ohio"",DB"
"Craig McDonald,Big Ten,Minnesota,Auburn,DB"
"Jack Henderson,Big Ten,Minnesota,Southeastern Louisiana,DB"
"David Kemp,Big Ten,Minnesota,Memphis,K"
"Jeff Sims,Big Ten,Nebraska,Georgia Tech,QB"
"Barret Liebentritt,Big Ten,Nebraska,Notre Dame,FB"
"Josh Fleeks,Big Ten,Nebraska,Baylor,RB/WR"
"Billy Kemp IV,Big Ten,Nebraska,Virginia,WR"
"Arik Gilbert,Big Ten,Nebraska,Georgia,TE"
"Caden Becker,Big Ten,Nebraska,Wyoming,TE"
"Jacob Hood,Big Ten,Nebraska,Georgia,OL"
"Ben Scott,Big Ten,Nebraska,Arizona State,OL"
"Tyler Knaack,Big Ten,Nebraska,Utah,OL"
"Elijah Jeudy,Big Ten,Nebraska,Texas A&M,DL"
"Chief Borders,Big Ten,Nebraska,Florida,LB"
"MJ Sherman,Big Ten,Nebraska,Georgia,LB"
"Corey Collier,Big Ten,Nebraska,Florida,DB"
"Marco Ortiz,Big Ten,Nebraska,Florida,LS"
"Ben Bryant,Big Ten,Northwestern,Cincinnati,QB"
"Camron Johnson,Big Ten,Northwestern,Arizona State,WR"
"A.J. Henning,Big Ten,Northwestern,Michigan,WR"
"Matt Lawson,Big Ten,Northwestern,Fresno State,DL"
"Richie Hagarty,Big Ten,Northwestern,Southern Illinois,DL"
"Reginald Pearson,Big Ten,Northwestern,Bethune-Cookman,DL"
"Tristan Gebbia,Big Ten,Ohio State,Oregon State,QB"
"Victor Cutler,Big Ten,Ohio State,ULM,OL"
"Josh Simmons,Big Ten,Ohio State,San Diego State,OL"
"Tywone Malone,Big Ten,Ohio State,Ole Miss,DL"
"Nigel Glover,Big Ten,Ohio State,Northwestern,LB"
"Ja'Had Carter,Big Ten,Ohio State,Syracuse,DB"
"Davison Igbinosun,Big Ten,Ohio State,Ole Miss,DB"
"Lorenzo Styles,Big Ten,Ohio State,Notre Dame,DB"
"Casey Magyar,Big Ten,Ohio State,Kent State,K"
"John Ferlmann,Big Ten,Ohio State,Arizona State,LS"
"Trey Potts,Big Ten,Penn State,Minnesota,RB"
"Dante Cephas,Big Ten,Penn State,Kent State,WR"
"Malik McClain,Big Ten,Penn State,Florida State,WR"
"Addison Penn,Big Ten,Penn State,Duke,OL"
"Alonzo Ford,Big Ten,Penn State,Old Dominion,DL"
"Audavion Collins,Big Ten,Penn State,Mississippi State,DB"
"Alex Felkins,Big Ten,Penn State,Columbia,K"
"Riley Thompson,Big Ten,Penn State,FAU,P"
"Hudson Card,Big Ten,Purdue,Texas,QB"
"Bennett Meredith,Big Ten,Purdue,Arizona State,QB"
"Bishop Johnson,Big Ten,Purdue,Army,RB"
"Jahmal Edrine,Big Ten,Purdue,FAU,WR"
"Jalen Grant,Big Ten,Purdue,Bowling Green,OL"
"Austin Johnson,Big Ten,Purdue,Colorado,OL"
"Preston Nichols,Big Ten,Purdue,UNLV,OL"
"Luke Griffin,Big Ten,Purdue,Missouri,OL"
"Ben Farrell,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Indiana Wesleyan,OL"
"Isaiah Nichols,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Arkansas,DL"
"Malik Langham,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Vanderbilt,DL"
"Jeffrey M'Ba,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Auburn,DL"
"Anthony Brown,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Arkansas,DB"
"Salim Turner-Muhammad,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Stanford,DB"
"Marquis Wilson,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Penn State,DB"
"Braxton Myers,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Ole Miss,DB"
"Zeke Williams,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Northern Illinois,DB"
"Markevious Brown,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Ole Miss,DB"
"Daniel Hawthorne,Big Ten,""OL Bakyne Coly, Lawrence Tech to Purdue"",Missouri,LS"
"Naseim Brantley,Big Ten,Rutgers,Western Illinois,WR"
"JaQuae Jackson,Big Ten,Rutgers,California University of Pennsylvania,WR"
